	Feature	value
4376	in_APPR_>_Regel_NN_NK_>_der_ART_NK	-0.005562097823124951
1282	auf_APPR_>_Weise_NN_NK_>_diese_PDAT_NK	0.00480369092133643
3513	im_APPRART_>_Hinblick_NN_NK_>_auf_APPR_MNR	-0.0046853014429966205
3832	in_APPR_>_Bezug_NN_NK_>_auf_APPR_OP	-0.004423314385118358
3622	im_APPRART_>_Vergleich_NN_NK_>_zu_APPR_MNR	-0.003541668502846237
3712	in_APPR_>_Arbeit_NN_NK_>_dieser_PDAT_NK	-0.0032439396273566535
3710	in_APPR_>_Arbeit_NN_NK_>_der_ART_NK	-0.0029870615710577853
3571	im_APPRART_>_Rahmen_NN_NK_>_Arbeit_NN_AG	-0.0029486825402055368
4584	in_APPR_>_Untersuchung_NN_NK_>_der_ART_NK	-0.0028683755764412123
3861	in_APPR_>_DDR_NE_NK_>_der_ART_NK	0.00278775243022739
792	an_APPR_>_Stelle_NN_NK_>_dieser_PDAT_NK	0.002707369290334983
4685	in_APPR_>_Wörterbüchern_NN_NK_>_den_ART_NK	-0.00260988650115275
4029	in_APPR_>_Gesellschaft_NN_NK_>_der_ART_NK	0.002586881269121887
4649	in_APPR_>_Welt_NN_NK_>_der_ART_NK	0.0025860478440982927
7099	mit_APPR_>_Blick_NN_NK_>_auf_APPR_MNR	0.0025431310117867856
4122	in_APPR_>_Jahren_NN_NK_>_den_ART_NK	0.002540868684898243
4220	in_APPR_>_Lage_NN_NK_>_der_ART_NK	0.0024253297755345853
8289	spielen_VVFIN_>_Rolle_NN_OA_>_eine_ART_NK	-0.0024095287878504105
4052	in_APPR_>_Gruppe_NN_NK_>_der_ART_NK	-0.002345047244340857
4475	in_APPR_>_Sprache_NN_NK_>_der_ART_NK	-0.002341105673742997
3931	in_APPR_>_Fall_NN_NK_>_diesem_PDAT_NK	-0.002304095387510674
3831	in_APPR_>_Bezug_NN_NK_>_auf_APPR_MNR	-0.0021735375820237813
1	%_NN_>_und_KON_CD_>_%_NN_CJ	-0.0021147244426757217
4240	in_APPR_>_Linguistik_NN_NK_>_der_ART_NK	-0.0020412089772281735
4242	in_APPR_>_Linie_NN_NK_>_erster_ADJA_NK	0.002000134586406898
4012	in_APPR_>_Gegenwart_NN_NK_>_der_ART_NK	0.001975755442187646
2839	für_APPR_>_Untersuchung_NN_NK_>_die_ART_NK	-0.0019672403181083572
4149	in_APPR_>_Kapitel_NN_NK_>_diesem_PDAT_NK	-0.0019280915565370914
4525	in_APPR_>_Tabelle_NN_NK_>_der_ART_NK	-0.0018931016239965655
4008	in_APPR_>_Gedichten_NN_NK_>_den_ART_NK	0.0018685979141840811
4006	in_APPR_>_Gedicht_NN_NK_>_dem_ART_NK	0.0018390740083767073
3989	in_APPR_>_Fällen_NN_NK_>_den_ART_NK	-0.0018317315880538635
3715	in_APPR_>_Arbeit_NN_NK_>_vorliegenden_ADJA_NK	-0.0018243158686214772
669	als_APPR_>_sondern_KON_CD_>_als_APPR_CJ	0.0018231970835261143
3990	in_APPR_>_Fällen_NN_NK_>_diesen_PDAT_NK	-0.0018195300103047375
35	Anteil_NN_>_von_APPR_MNR_>_%_NN_NK	-0.0018019109122098434
3962	in_APPR_>_Form_NN_NK_>_von_APPR_PG	-0.001798192773298783
2684	für_APPR_>_Erfassung_NN_NK_>_die_ART_NK	-0.0017670953254406347
4433	in_APPR_>_Schritt_NN_NK_>_einem_ART_NK	-0.001744581897959627
5002	ist_VAFIN_>_Fall_NN_PD_>_der_ART_NK	-0.0017210355121972504
4451	in_APPR_>_Sinne_NN_NK_>_diesem_PDAT_NK	0.001720464057866637
4591	in_APPR_>_Untersuchung_NN_NK_>_vorliegenden_ADJA_NK	-0.0017115339627928417
4411	in_APPR_>_Roman_NN_NK_>_diesem_PDAT_NK	0.0017033691966671111
4690	in_APPR_>_Zeit_NN_NK_>_der_ART_NK	0.0016837116179960047
10842	wird_VAFIN_>_eingegangen_VVPP_OC_>_auf_APPR_MO	-0.0016725177400205874
380	Rahmen_NN_>_Arbeit_NN_AG_>_dieser_PDAT_NK	-0.0016510804976319258
379	Rahmen_NN_>_Arbeit_NN_AG_>_der_ART_NK	-0.0016466084816104752
1863	dann_ADV_>_ist_VAFIN_RE_>_wenn_KOUS_CP	-0.001625692134988926
381	Rahmen_NN_>_Arbeit_NN_AG_>_vorliegenden_ADJA_NK	-0.0015968599466387066
